MarchMadness2019
Team Name,Rank,Expected amount of games won,Standardized Probability,First Round Prob,Second Round,Sweet Sixteen,Elite Eight,Final Four,Final
Duke•À_NCAA,1,3.02173815,0.989406701,0.914535474,0.565046943,0.34286613,0.201282357,0.112064035,0.062450118
North Dakota State•À_NCAA,16,-0.15460284,0.092461339,0.085464526,0.011325567,0.001476827,0.000181872,1.99E-05,2.13E-06
Virginia Commonwealth•À_NCAA,8,1.44941199,0.694117551,0.575153817,0.260246479,0.135514872,0.067954759,0.031945139,0.015008163
Central Florida•À_NCAA,9,1.03323845,0.512720568,0.424846183,0.163381011,0.072892457,0.03121038,0.012401029,0.004915181
Mississippi State•À_NCAA,5,1.42854383,0.685702226,0.523355126,0.293327694,0.136131051,0.067859015,0.031698084,0.014796798
Liberty•À_NCAA,12,1.28297498,0.624502245,0.476644874,0.256821585,0.113382526,0.053938468,0.023969914,0.010639287
Virginia Tech•À_NCAA,4,1.37984412,0.66569022,0.844212446,0.425257792,0.194303449,0.095454549,0.043899315,0.020172384
Saint Louis•À_NCAA,13,-0.0103602,0.122843784,0.155787554,0.02459293,0.003432689,0.000537484,7.50E-05,1.03E-05
Belmont•À_NCAA,11,0.75763803,0.388547878,0.502191013,0.186042513,0.067783294,0.023376811,0.007817903,0.002602567
Maryland•À_NCAA,6,0.74988863,0.385157481,0.497808987,0.183495819,0.06649345,0.022802318,0.007582261,0.002509539
Louisiana State•À_NCAA,3,1.79255938,0.815874776,0.902983051,0.612539444,0.331614714,0.173247793,0.088300605,0.045013323
Yale•À_NCAA,14,-0.18047396,0.087657993,0.097016949,0.017922224,0.002119896,0.000228705,2.38E-05,2.44E-06
Louisville•À_NCAA,7,1.11898258,0.551674145,0.609735567,0.250653183,0.120258725,0.051293693,0.021268111,0.008801028
Minnesota•À_NCAA,10,0.67552269,0.353101917,0.390264433,0.12253045,0.046037335,0.01491082,0.004680546,0.001461343
Michigan State•À_NCAA,2,1.95076,0.860055879,0.963289087,0.62434411,0.365550681,0.195714794,0.102280265,0.053473605
Bradley•À_NCAA,15,-0.60581834,0.032776699,0.036710913,0.002472257,0.000141905,6.18E-06,2.60E-07,1.07E-08
Gonzaga•À_NCAA,1,3.0989194,0.991641117,0.928286606,0.620599996,0.404929849,0.224515043,0.127866305,0.071326768
Fairleigh Dickinson•À_NCAA,16,-0.24429704,0.076607752,0.071713394,0.010019798,0.001332572,0.000121834,1.17E-05,1.06E-06
