Rank,Team Name,Expected Wins
1,Kansas,2.908713076
2,Dayton,2.283329989
3,San Diego State,2.222873695
4,Gonzaga,1.85077643
5,Oregon,1.74466198
6,Brigham Young,1.694100479
7,Florida State,1.657731672
8,Duke,1.612518633
9,Creighton,1.559070492
10,Baylor,1.502220982
11,Michigan State,1.360459055
12,Louisiana State,1.236144602
13,Kentucky,1.186363147
14,Saint Mary's (CA),1.174194191
15,Liberty,1.173283881
16,Florida,1.166540478
17,Villanova,1.132202321
18,East Tennessee State,1.116584833
19,Butler,1.110294353
20,Maryland,1.085575051
21,Seton Hall,1.082436606
22,Louisville,1.007224124
23,West Virginia,0.998392772
24,Wisconsin,0.993737412
25,Ohio State,0.98932158
