MarchMadness2019Data
Team Name,Expected amount of games won,Standardized Probability,First Round Prob,Second Round,Sweet Sixteen,Elite Eight,Final Four,Final,
Duke�NCAA,3.62706498,0.98989411,0.773746374,0.652288174,0.422074086,0.258243713,0.14207562,0.0792634,
North Dakota State�NCAA,0.391337,0.28945807,0.226253626,0.138623305,0.048658424,0.015989641,0.004302472,0.001175977,
Virginia Commonwealth�NCAA,-0.16659244,0.14660501,0.408918612,0.071919692,0.015515296,0.003160218,0.000503621,8.12202E-05,
Central Florida�NCAA,0.11601438,0.21191379,0.591081388,0.13716883,0.038964951,0.010392855,0.002220048,0.000481045,
Mississippi State�NCAA,0.85628748,0.44373245,0.433261765,0.19518892,0.084455031,0.035760457,0.012811531,0.004665594,
Liberty�NCAA,1.24371445,0.58043466,0.566738235,0.292878256,0.143949466,0.070044998,0.029450821,0.012583089,
Virginia Tech�NCAA,1.41964795,0.64037223,0.603392796,0.333800495,0.171331328,0.087370326,0.038792881,0.01749845,
Saint Louis�NCAA,0.79101423,0.42091361,0.396607204,0.17813233,0.075051418,0.030863995,0.010694795,0.003767022,
Belmont�NCAA,-0.50073064,0.08879106,0.267245745,0.0441579,0.005767224,0.000753433,7.8318E-05,8.20753E-06,
Maryland�NCAA,0.23360056,0.24345393,0.732754255,0.239915699,0.067949816,0.01924419,0.004565056,0.001099241,
Louisiana State�NCAA,1.24796237,0.58191035,0.944164632,0.706691551,0.334640874,0.158891308,0.066902768,0.028625637,
Yale�NCAA,-1.03076108,0.03441262,0.055835368,0.009234851,0.000518149,2.91657E-05,1.27112E-06,5.54961E-08,
Louisville�NCAA,0.47640351,0.31585427,0.394414888,0.12067204,0.051516369,0.017310443,0.004953025,0.001439956,
Minnesota�NCAA,0.97302864,0.48496304,0.605585112,0.240219493,0.126575155,0.054671475,0.020688609,0.007957773,
Michigan State�NCAA,3.53117863,0.98736096,0.779705613,0.54964269,0.377350724,0.226204632,0.124308315,0.069273647,
Bradley�NCAA,0.35652979,0.27896436,0.220294387,0.089465777,0.035681689,0.01106915,0.002900784,0.000772079,
Gonzaga�NCAA,2.848571,0.94846189,0.887697588,0.633400409,0.385894163,0.213248242,0.1224561,0.067042042,
Fairleigh Dickinson�NCAA,-0.30596046,0.11998969,0.112302412,0.026980939,0.005403975,0.000766801,0.0001192,1.624E-05,
Syracuse�NCAA,0.76400403,0.4115438,0.54328493,0.193177042,0.082074686,0.029053805,0.010945014,0.003800019,
Baylor�NCAA,0.56984166,0.34596626,0.45671507,0.14644161,0.056835627,0.017986964,0.006087624,0.001884412,
Marquette�NCAA,0.15930136,0.22323727,0.754162794,0.19541713,0.051511141,0.011966539,0.00300705,0.000678151,
Murray State�NCAA,-0.62131997,0.07276947,0.245837206,0.027695112,0.003040764,0.000279846,2.84178E-05,2.49158E-06,
Florida State�NCAA,2.3468898,0.88179368,0.858645139,0.711734216,0.402697324,0.21542407,0.119987581,0.063549385,
Vermont�NCAA,-0.17366487,0.1451657,0.141354861,0.065153541,0.012542318,0.002082625,0.000377552,6.03925E-05,
